"worm_name","cluster","Last_A","Last_B","Last_C","Last_D","Last_NA"
"N2_f1","A",0.486486486486487,0.297297297297297,0.135135135135135,0.0810810810810811,0
"N2_nf4","A",0.344827586206897,0.137931034482759,0.206896551724138,0.275862068965517,0.0344827586206897
"N2_nf5","A",0.269230769230769,0.269230769230769,0.115384615384615,0.346153846153846,0
"tph1_f6","A",0.521739130434783,0.173913043478261,0.130434782608696,0.130434782608696,0.0434782608695652
"N2_f1","B",0.392857142857143,0.5,0.107142857142857,0,0
"N2_nf4","B",0.272727272727273,0.272727272727273,0.409090909090909,0.0454545454545455,0
"N2_nf5","B",0.277777777777778,0.333333333333333,0.166666666666667,0.166666666666667,0.0555555555555556
"tph1_f6","B",0.24,0.52,0.24,0,0
"N2_f1","C",0.636363636363636,0.0909090909090909,0.272727272727273,0,0
"N2_nf4","C",0.25,0.45,0.15,0.15,0
"N2_nf5","C",0.272727272727273,0.0909090909090909,0.181818181818182,0.454545454545455,0
"tph1_f6","C",0.0967741935483871,0.225806451612903,0.67741935483871,0,0
"N2_f1","D",0.142857142857143,0.142857142857143,0,0.571428571428571,0.142857142857143
"N2_nf4","D",0.583333333333333,0.25,0.166666666666667,0,0
"N2_nf5","D",0.392857142857143,0.142857142857143,0.107142857142857,0.357142857142857,0
"tph1_f6","D",0.5,0.25,0.25,0,0
