"hidden_states","worm_model","N2_f1_states","N2_nf4_states","N2_nf5_states","tph1_f6_states"
3,"N2_f1_hmm",511.346500900046,715.822717027852,736.741720779158,566.952453981711
3,"N2_nf4_hmm",549.786861903639,659.115665559008,671.028253477706,573.620454451471
3,"N2_nf5_hmm",582.010511956866,713.358567981439,631.187254348202,669.817284059547
3,"tph1_f6_hmm",612.319017182796,755.885452351151,873.456279907748,519.34073089751
4,"N2_f1_hmm",509.708222276954,724.460962027673,744.881120796843,570.128819509381
4,"N2_nf4_hmm",566.444539965898,658.878012744553,681.481644777667,609.831123922486
4,"N2_nf5_hmm",591.947839428022,726.671645284724,633.386893903111,680.247546119919
4,"tph1_f6_hmm",582.266617935495,719.149640444585,758.554963305501,511.878574414333
5,"N2_f1_hmm",506.985795622938,726.942479907287,746.852762856648,570.610232944948
5,"N2_nf4_hmm",565.789323581343,658.353456638337,686.773743555456,598.716982192292
5,"N2_nf5_hmm",599.631756305481,737.195103661671,629.126192810911,680.47300739554
5,"tph1_f6_hmm",592.938229714425,736.494384985122,775.877917116761,512.663129040456
6,"N2_f1_hmm",510.364910301685,739.285702445836,769.210471873226,580.040910795853
6,"N2_nf4_hmm",592.576090050574,654.311946203135,709.689521239844,637.558977629312
6,"N2_nf5_hmm",602.29929662001,747.164926716333,628.699169161895,684.503754037958
6,"tph1_f6_hmm",589.416273969314,727.555186480289,748.730503929457,515.819323004112
7,"N2_f1_hmm",511.795466153319,749.35892317765,767.675934961278,588.53113228141
7,"N2_nf4_hmm",599.076985957471,656.261662081895,721.17339150568,651.501655707608
7,"N2_nf5_hmm",618.923974495689,765.353397245736,626.887404485518,697.871993640644
7,"tph1_f6_hmm",600.552302892354,737.781410494277,753.146957247351,513.912230411819
8,"N2_f1_hmm",512.039528607685,778.62458570025,806.666508983108,593.231018144902
8,"N2_nf4_hmm",622.325532573434,649.318680261569,740.79509737938,669.862225660535
8,"N2_nf5_hmm",628.11753339248,778.84296835142,624.509854521313,712.980549245603
8,"tph1_f6_hmm",610.468138691737,759.632401351449,761.665721492426,513.845055457087
9,"N2_f1_hmm",509.732128123411,803.42472253263,806.968522152205,601.901646658622
9,"N2_nf4_hmm",635.70744621391,650.400139191091,757.915470375281,685.042376002236
9,"N2_nf5_hmm",626.919373652901,805.449338141208,621.408129357012,721.947704608499
9,"tph1_f6_hmm",623.615818804254,768.589915476178,765.855855503177,512.736675895352
10,"N2_f1_hmm",505.225972087285,798.687338969248,813.631817726332,627.390954783432
10,"N2_nf4_hmm",627.820596448125,649.46110944495,767.811694915534,677.719539531736
10,"N2_nf5_hmm",642.71717645556,811.041609301976,618.87598400577,734.37714735257
10,"tph1_f6_hmm",623.213128523124,774.028690819257,768.767954725898,515.822710410881
